ID	NAME
CHEBI:24875	iron cation	
CHEBI:26355	heme b	
CHEBI:27363	zinc atom	
CHEBI:33699	messenger RNA	
CHEBI:57692	FAD(3-)	
CHEBI:58210	FMN(3-)	
CHEBI:58937	thiamine(1+) diphosphate(3-)	
CHEBI:60240	divalent metal cation	
CHEBI:64607	Fe4S4 iron-sulfur cluster	
CHEBI:456215	adenosine 5'-monophosphate(2-)	
CHEBI:75947	2'-3'-cGAMP	
CHEBI:18111	ribosomal RNA	
CHEBI:30408	iron-sulfur cluster	
CHEBI:30413	heme	
CHEBI:15996	GTP	
CHEBI:16238	FAD	
CHEBI:17489	3',5'-cyclic AMP	
CHEBI:18248	iron atom	
CHEBI:18420	magnesium(2+)	
CHEBI:28013	beta-D-fructofuranose 1,6-bisphosphate	
CHEBI:29035	manganese(2+)	
CHEBI:29036	copper(2+)	
CHEBI:29105	zinc(2+)	
CHEBI:29108	calcium(2+)	
CHEBI:49601	Fe2S2 iron-sulfur cluster	
CHEBI:18405	pyridoxal 5'-phosphate	
CHEBI:29034	iron(3+)	
